Unnamed: 0,Unnamed: 1,NB1,Unnamed: 3,NB2,Unnamed: 5,NB3,Unnamed: 7,NB4,Unnamed: 9,NB5,Unnamed: 11,NB6,Unnamed: 13,RP
,,AP1,CF1,AP2,CF2,AP3,CF3,AP4,CF4,AP5,CF5,AP6,CF6,
Functional Unit,,,,,,,,,,,,,,
P-fertilizer bioav.,kg P ,1,,1,,1,,1,,1,,1,,1.0
Inputs,,,,,,,,,,,,,,
Input-feedstock ,kg ww,1772,1772,139,139,926,926,824,824,31,31,3571,3571,7.41
Input-feedstock,kg TS,89,89,67,67,46,46,41,41,30,30,179,179,7.41
Input-P,kg P ,2.17,2.17,1.07,1.07,1.13,1.13,1.01,1.01,1,1,2.07,2.07,1.0
Electricity,kWh,9.5,13.5,12.8,0,13.8,7.1,11.8,6.3,2.9,0,29.5,13.4,1.6
Outputs,,,,,,,,,,,,,,
Electricity,kWh,73.4,77.3,85.1,6.9,46.3,40.4,41.2,35.9,0,0,0,122.02976190476188,0.0
P (other flows),kg P ,1.2,2.2,0,1.1,0,1.1,0,1,0,1,0.7142857142857143,1.892142857142857,0.0
N,kg N,3.9,3.9,0,3.1,0,2,0,1.8,0,2.8,7.040357142857142,8.850714285714284,0.0
K,kg K,0.2,0.2,1.9,1.9,0.1,0.1,0.1,0.1,1.7,1.7,2.8528571428571423,2.8528571428571423,0.0
C,kg C,15.6,14.5,0,29.6,0,7.6,0,6.8,0,11.8,31.085714285714282,36.607142857142854,0.0
Waste,kg TS,0,0,0,0,0.01,0,0.01,0,0.02,0,0,0,0.001
Avoided products,,,,,,,,,,,,,,
Electricity,kWh,73.4,77.3,85.1,0,46.3,40.4,41.2,35.9,0,0,0,122.02976190476188,0.0
P (mineral),kg P ,0.5,1,0,0.9,0,0.5,0,0.5,0,0.4,0.7142857142857143,1.3289202914154465,0.0
N (mineral),kg N,3.9,3.9,0,3.1,0,2,0,1.8,0,2.8,5.871735714285713,8.262141785714284,0.0
K (mineral),kg K,0.2,0.2,1.9,1.9,0.1,0.1,0.1,0.1,1.7,1.7,2.6601928571428566,2.6601928571428566,0.0
